Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
SAI,55,94.317,9.0,3.0,24.465,28.669,41.183,284.0,273.0,253.0,318.0,True,SOFT,2.0,True,Williams,1,Q
ALB,23,113.906,2.0,1.0,26.828,31.088,55.99,270.0,259.0,276.0,247.0,True,SOFT,2.0,True,Williams,1,Q
ALB,23,95.501,3.0,1.0,24.906,29.066,41.529,285.0,272.0,254.0,318.0,True,SOFT,3.0,True,Williams,1,Q
ALB,23,95.145,6.0,2.0,24.726,28.694,41.725,284.0,273.0,254.0,313.0,True,SOFT,2.0,True,Williams,1,Q
ALB,23,94.772,9.0,3.0,24.526,28.876,41.37,285.0,271.0,253.0,314.0,True,SOFT,2.0,True,Williams,1,Q
ALO,14,96.338,2.0,1.0,25.257,29.036,42.045,277.0,271.0,257.0,300.0,True,SOFT,2.0,True,Aston Martin,1,Q
ALO,14,95.446,5.0,2.0,24.868,28.787,41.791,278.0,274.0,256.0,307.0,True,SOFT,2.0,True,Aston Martin,1,Q
ALO,14,95.203,8.0,3.0,24.782,28.723,41.698,280.0,273.0,249.0,301.0,True,SOFT,2.0,True,Aston Martin,1,Q
BOT,77,96.968,2.0,1.0,25.381,29.189,42.398,273.0,266.0,265.0,306.0,True,SOFT,2.0,True,Cadillac,1,Q
BOT,77,95.928,5.0,2.0,25.146,28.989,41.793,280.0,275.0,262.0,312.0,True,SOFT,2.0,True,Cadillac,1,Q
BOT,77,95.436,8.0,3.0,24.949,28.972,41.515,278.0,258.0,260.0,310.0,True,SOFT,2.0,True,Cadillac,1,Q
STR,18,97.069,2.0,1.0,25.598,29.144,42.327,278.0,271.0,253.0,293.0,True,SOFT,2.0,True,Aston Martin,1,Q
STR,18,96.412,5.0,2.0,25.088,29.226,42.098,278.0,273.0,252.0,301.0,True,SOFT,2.0,True,Aston Martin,1,Q
STR,18,95.995,8.0,3.0,24.953,29.204,41.838,279.0,266.0,251.0,303.0,True,SOFT,2.0,True,Aston Martin,1,Q
PER,11,97.524,2.0,1.0,25.703,29.256,42.565,269.0,261.0,263.0,305.0,True,SOFT,2.0,True,Cadillac,1,Q
PER,11,96.906,5.0,2.0,26.049,29.246,41.611,277.0,263.0,263.0,313.0,True,SOFT,2.0,True,Cadillac,1,Q
